Date,Close,Country,Ticker,Close,Close,Close,Close,Close
,^GSPC,,,^GDAXI,000001.SS,^FTSE,^GSPTSE,^N225
2020-02-21,3337.75,United States,^GSPC,,,,,
2020-02-24,3225.889892578125,United States,^GSPC,,,,,
2020-02-25,3128.2099609375,United States,^GSPC,,,,,
2020-02-26,3116.389892578125,United States,^GSPC,,,,,
2020-02-27,2978.760009765625,United States,^GSPC,,,,,
2020-02-28,2954.219970703125,United States,^GSPC,,,,,
2020-03-02,3090.22998046875,United States,^GSPC,,,,,
2020-03-03,3003.3701171875,United States,^GSPC,,,,,
2020-03-04,3130.1201171875,United States,^GSPC,,,,,
2020-03-05,3023.93994140625,United States,^GSPC,,,,,
2020-03-06,2972.3701171875,United States,^GSPC,,,,,
2020-03-09,2746.56005859375,United States,^GSPC,,,,,
2020-03-10,2882.22998046875,United States,^GSPC,,,,,
2020-03-11,2741.3798828125,United States,^GSPC,,,,,
2020-03-12,2480.639892578125,United States,^GSPC,,,,,
2020-03-13,2711.02001953125,United States,^GSPC,,,,,
2020-03-16,2386.1298828125,United States,^GSPC,,,,,
2020-03-17,2529.18994140625,United States,^GSPC,,,,,
2020-03-18,2398.10009765625,United States,^GSPC,,,,,
2020-03-19,2409.389892578125,United States,^GSPC,,,,,
2020-03-20,2304.919921875,United States,^GSPC,,,,,
2020-03-23,2237.39990234375,United States,^GSPC,,,,,
2020-03-24,2447.330078125,United States,^GSPC,,,,,
2020-03-25,2475.56005859375,United States,^GSPC,,,,,
2020-03-26,2630.070068359375,United States,^GSPC,,,,,
2020-03-27,2541.469970703125,United States,^GSPC,,,,,
2020-03-30,2626.64990234375,United States,^GSPC,,,,,
2020-03-31,2584.590087890625,United States,^GSPC,,,,,
2020-04-01,2470.5,United States,^GSPC,,,,,
2020-04-02,2526.89990234375,United States,^GSPC,,,,,
2020-04-03,2488.64990234375,United States,^GSPC,,,,,
2020-04-06,2663.679931640625,United States,^GSPC,,,,,
2020-04-07,2659.409912109375,United States,^GSPC,,,,,
2020-04-08,2749.97998046875,United States,^GSPC,,,,,
2020-04-09,2789.820068359375,United States,^GSPC,,,,,
2020-04-13,2761.6298828125,United States,^GSPC,,,,,
2020-04-14,2846.06005859375,United States,^GSPC,,,,,
2020-04-15,2783.360107421875,United States,^GSPC,,,,,
2020-04-16,2799.550048828125,United States,^GSPC,,,,,
2020-04-17,2874.56005859375,United States,^GSPC,,,,,
2020-04-20,2823.159912109375,United States,^GSPC,,,,,
2020-04-21,2736.56005859375,United States,^GSPC,,,,,
2020-04-22,2799.31005859375,United States,^GSPC,,,,,
2020-04-23,2797.800048828125,United States,^GSPC,,,,,
2020-04-24,2836.739990234375,United States,^GSPC,,,,,
2020-04-27,2878.47998046875,United States,^GSPC,,,,,
2020-04-28,2863.389892578125,United States,^GSPC,,,,,
2020-04-29,2939.510009765625,United States,^GSPC,,,,,
2020-04-30,2912.429931640625,United States,^GSPC,,,,,
2020-05-01,2830.7099609375,United States,^GSPC,,,,,
2020-05-04,2842.739990234375,United States,^GSPC,,,,,
2020-05-05,2868.43994140625,United States,^GSPC,,,,,
2020-05-06,2848.419921875,United States,^GSPC,,,,,
2020-05-07,2881.18994140625,United States,^GSPC,,,,,
2020-05-08,2929.800048828125,United States,^GSPC,,,,,
2020-05-11,2930.18994140625,United States,^GSPC,,,,,
2020-05-12,2870.1201171875,United States,^GSPC,,,,,
2020-05-13,2820.0,United States,^GSPC,,,,,
2020-05-14,2852.5,United States,^GSPC,,,,,
2020-05-15,2863.699951171875,United States,^GSPC,,,,,
2020-05-18,2953.909912109375,United States,^GSPC,,,,,
2020-05-19,2922.93994140625,United States,^GSPC,,,,,
2020-05-20,2971.610107421875,United States,^GSPC,,,,,
2020-05-21,2948.510009765625,United States,^GSPC,,,,,
2020-05-22,2955.449951171875,United States,^GSPC,,,,,
2020-05-26,2991.77001953125,United States,^GSPC,,,,,
2020-05-27,3036.1298828125,United States,^GSPC,,,,,
2020-05-28,3029.72998046875,United States,^GSPC,,,,,
2020-05-29,3044.31005859375,United States,^GSPC,,,,,
2020-06-01,3055.72998046875,United States,^GSPC,,,,,
2020-06-02,3080.820068359375,United States,^GSPC,,,,,
2020-06-03,3122.8701171875,United States,^GSPC,,,,,
2020-06-04,3112.35009765625,United States,^GSPC,,,,,
2020-06-05,3193.929931640625,United States,^GSPC,,,,,
2020-06-08,3232.389892578125,United States,^GSPC,,,,,
2020-06-09,3207.179931640625,United States,^GSPC,,,,,
2020-06-10,3190.139892578125,United States,^GSPC,,,,,
2020-06-11,3002.10009765625,United States,^GSPC,,,,,
2020-06-12,3041.31005859375,United States,^GSPC,,,,,
2020-06-15,3066.590087890625,United States,^GSPC,,,,,
2020-06-16,3124.739990234375,United States,^GSPC,,,,,
2020-06-17,3113.489990234375,United States,^GSPC,,,,,
2020-06-18,3115.340087890625,United States,^GSPC,,,,,
2020-06-19,3097.739990234375,United States,^GSPC,,,,,
2020-06-22,3117.860107421875,United States,^GSPC,,,,,
2020-06-23,3131.2900390625,United States,^GSPC,,,,,
2020-06-24,3050.330078125,United States,^GSPC,,,,,
2020-06-25,3083.760009765625,United States,^GSPC,,,,,
2020-06-26,3009.050048828125,United States,^GSPC,,,,,
2020-06-29,3053.239990234375,United States,^GSPC,,,,,
2020-06-30,3100.2900390625,United States,^GSPC,,,,,
2020-07-01,3115.860107421875,United States,^GSPC,,,,,
2020-07-02,3130.010009765625,United States,^GSPC,,,,,
2020-07-06,3179.719970703125,United States,^GSPC,,,,,
2020-07-07,3145.320068359375,United States,^GSPC,,,,,
2020-07-08,3169.93994140625,United States,^GSPC,,,,,
2020-07-09,3152.050048828125,United States,^GSPC,,,,,
2020-07-10,3185.0400390625,United States,^GSPC,,,,,
2020-07-13,3155.219970703125,United States,^GSPC,,,,,
2020-07-14,3197.52001953125,United States,^GSPC,,,,,
2020-07-15,3226.56005859375,United States,^GSPC,,,,,
2020-07-16,3215.570068359375,United States,^GSPC,,,,,
2020-07-17,3224.72998046875,United States,^GSPC,,,,,
2020-07-20,3251.840087890625,United States,^GSPC,,,,,
2020-07-21,3257.300048828125,United States,^GSPC,,,,,
2020-07-22,3276.02001953125,United States,^GSPC,,,,,
2020-07-23,3235.659912109375,United States,^GSPC,,,,,
2020-07-24,3215.6298828125,United States,^GSPC,,,,,
2020-07-27,3239.409912109375,United States,^GSPC,,,,,
2020-07-28,3218.43994140625,United States,^GSPC,,,,,
2020-07-29,3258.43994140625,United States,^GSPC,,,,,
2020-07-30,3246.219970703125,United States,^GSPC,,,,,
2020-07-31,3271.1201171875,United States,^GSPC,,,,,
2020-08-03,3294.610107421875,United States,^GSPC,,,,,
2020-08-04,3306.510009765625,United States,^GSPC,,,,,
2020-08-05,3327.77001953125,United States,^GSPC,,,,,
2020-08-06,3349.159912109375,United States,^GSPC,,,,,
2020-08-07,3351.280029296875,United States,^GSPC,,,,,
2020-08-10,3360.469970703125,United States,^GSPC,,,,,
2020-08-11,3333.68994140625,United States,^GSPC,,,,,
2020-08-12,3380.35009765625,United States,^GSPC,,,,,
2020-08-13,3373.429931640625,United States,^GSPC,,,,,
2020-08-14,3372.85009765625,United States,^GSPC,,,,,
2020-08-17,3381.989990234375,United States,^GSPC,,,,,
2020-08-18,3389.780029296875,United States,^GSPC,,,,,
2020-08-19,3374.85009765625,United States,^GSPC,,,,,
2020-08-20,3385.510009765625,United States,^GSPC,,,,,
2020-08-21,3397.159912109375,United States,^GSPC,,,,,
2020-08-24,3431.280029296875,United States,^GSPC,,,,,
2020-08-25,3443.6201171875,United States,^GSPC,,,,,
2020-08-26,3478.72998046875,United States,^GSPC,,,,,
2020-08-27,3484.550048828125,United States,^GSPC,,,,,
2020-08-28,3508.010009765625,United States,^GSPC,,,,,
2020-08-31,3500.31005859375,United States,^GSPC,,,,,
2020-09-01,3526.64990234375,United States,^GSPC,,,,,
2020-09-02,3580.840087890625,United States,^GSPC,,,,,
2020-09-03,3455.06005859375,United States,^GSPC,,,,,
2020-09-04,3426.9599609375,United States,^GSPC,,,,,
2020-09-08,3331.840087890625,United States,^GSPC,,,,,
2020-09-09,3398.9599609375,United States,^GSPC,,,,,
2020-09-10,3339.18994140625,United States,^GSPC,,,,,
2020-09-11,3340.969970703125,United States,^GSPC,,,,,
2020-09-14,3383.5400390625,United States,^GSPC,,,,,
2020-09-15,3401.199951171875,United States,^GSPC,,,,,
2020-09-16,3385.489990234375,United States,^GSPC,,,,,
2020-09-17,3357.010009765625,United States,^GSPC,,,,,
2020-09-18,3319.469970703125,United States,^GSPC,,,,,
2020-09-21,3281.06005859375,United States,^GSPC,,,,,
2020-09-22,3315.570068359375,United States,^GSPC,,,,,
2020-09-23,3236.919921875,United States,^GSPC,,,,,
2020-09-24,3246.590087890625,United States,^GSPC,,,,,
2020-09-25,3298.4599609375,United States,^GSPC,,,,,
2020-09-28,3351.60009765625,United States,^GSPC,,,,,
2020-09-29,3335.469970703125,United States,^GSPC,,,,,
2020-09-30,3363.0,United States,^GSPC,,,,,
2020-10-01,3380.800048828125,United States,^GSPC,,,,,
2020-10-02,3348.419921875,United States,^GSPC,,,,,
2020-10-05,3408.60009765625,United States,^GSPC,,,,,
2020-10-06,3360.969970703125,United States,^GSPC,,,,,
2020-10-07,3419.43994140625,United States,^GSPC,,,,,
2020-10-08,3446.830078125,United States,^GSPC,,,,,
2020-10-09,3477.139892578125,United States,^GSPC,,,,,
2020-10-12,3534.219970703125,United States,^GSPC,,,,,
2020-10-13,3511.929931640625,United States,^GSPC,,,,,
2020-10-14,3488.669921875,United States,^GSPC,,,,,
2020-10-15,3483.340087890625,United States,^GSPC,,,,,
2020-10-16,3483.81005859375,United States,^GSPC,,,,,
2020-10-19,3426.919921875,United States,^GSPC,,,,,
2020-10-20,3443.1201171875,United States,^GSPC,,,,,
2020-10-21,3435.56005859375,United States,^GSPC,,,,,
2020-10-22,3453.489990234375,United States,^GSPC,,,,,
2020-10-23,3465.389892578125,United States,^GSPC,,,,,
2020-10-26,3400.969970703125,United States,^GSPC,,,,,
2020-10-27,3390.679931640625,United States,^GSPC,,,,,
2020-10-28,3271.030029296875,United States,^GSPC,,,,,
2020-10-29,3310.110107421875,United States,^GSPC,,,,,
2020-10-30,3269.9599609375,United States,^GSPC,,,,,
2020-11-02,3310.239990234375,United States,^GSPC,,,,,
2020-11-03,3369.159912109375,United States,^GSPC,,,,,
2020-11-04,3443.43994140625,United States,^GSPC,,,,,
2020-11-05,3510.449951171875,United States,^GSPC,,,,,
2020-11-06,3509.43994140625,United States,^GSPC,,,,,
2020-11-09,3550.5,United States,^GSPC,,,,,
2020-11-10,3545.530029296875,United States,^GSPC,,,,,
2020-11-11,3572.659912109375,United States,^GSPC,,,,,
2020-11-12,3537.010009765625,United States,^GSPC,,,,,
2020-11-13,3585.14990234375,United States,^GSPC,,,,,
2020-11-16,3626.909912109375,United States,^GSPC,,,,,
2020-11-17,3609.530029296875,United States,^GSPC,,,,,
2020-11-18,3567.7900390625,United States,^GSPC,,,,,
2020-11-19,3581.8701171875,United States,^GSPC,,,,,
2020-11-20,3557.5400390625,United States,^GSPC,,,,,
2020-11-23,3577.590087890625,United States,^GSPC,,,,,
2020-11-24,3635.409912109375,United States,^GSPC,,,,,
2020-11-25,3629.64990234375,United States,^GSPC,,,,,
2020-11-27,3638.35009765625,United States,^GSPC,,,,,
2020-11-30,3621.6298828125,United States,^GSPC,,,,,
2020-12-01,3662.449951171875,United States,^GSPC,,,,,
2020-12-02,3669.010009765625,United States,^GSPC,,,,,
2020-12-03,3666.719970703125,United States,^GSPC,,,,,
2020-12-04,3699.1201171875,United States,^GSPC,,,,,
2020-12-07,3691.9599609375,United States,^GSPC,,,,,
2020-12-08,3702.25,United States,^GSPC,,,,,
2020-12-09,3672.820068359375,United States,^GSPC,,,,,
2020-12-10,3668.10009765625,United States,^GSPC,,,,,
2020-12-11,3663.4599609375,United States,^GSPC,,,,,
2020-12-14,3647.489990234375,United States,^GSPC,,,,,
2020-12-15,3694.6201171875,United States,^GSPC,,,,,
2020-12-16,3701.169921875,United States,^GSPC,,,,,
2020-12-17,3722.47998046875,United States,^GSPC,,,,,
2020-12-18,3709.409912109375,United States,^GSPC,,,,,
2020-12-21,3694.919921875,United States,^GSPC,,,,,
2020-12-22,3687.260009765625,United States,^GSPC,,,,,
2020-12-23,3690.010009765625,United States,^GSPC,,,,,
2020-12-24,3703.06005859375,United States,^GSPC,,,,,
2020-12-28,3735.360107421875,United States,^GSPC,,,,,
2020-12-29,3727.0400390625,United States,^GSPC,,,,,
2020-12-30,3732.0400390625,United States,^GSPC,,,,,
2020-12-31,3756.070068359375,United States,^GSPC,,,,,
2021-01-04,3700.64990234375,United States,^GSPC,,,,,
2021-01-05,3726.860107421875,United States,^GSPC,,,,,
2021-01-06,3748.139892578125,United States,^GSPC,,,,,
2021-01-07,3803.7900390625,United States,^GSPC,,,,,
2021-01-08,3824.679931640625,United States,^GSPC,,,,,
2021-01-11,3799.610107421875,United States,^GSPC,,,,,
2021-01-12,3801.18994140625,United States,^GSPC,,,,,
2021-01-13,3809.840087890625,United States,^GSPC,,,,,
2021-01-14,3795.5400390625,United States,^GSPC,,,,,
2021-01-15,3768.25,United States,^GSPC,,,,,
2021-01-19,3798.909912109375,United States,^GSPC,,,,,
2021-01-20,3851.85009765625,United States,^GSPC,,,,,
2021-01-21,3853.070068359375,United States,^GSPC,,,,,
2021-01-22,3841.469970703125,United States,^GSPC,,,,,
2021-01-25,3855.360107421875,United States,^GSPC,,,,,
2021-01-26,3849.6201171875,United States,^GSPC,,,,,
2021-01-27,3750.77001953125,United States,^GSPC,,,,,
2021-01-28,3787.3798828125,United States,^GSPC,,,,,
2021-01-29,3714.239990234375,United States,^GSPC,,,,,
2021-02-01,3773.860107421875,United States,^GSPC,,,,,
2021-02-02,3826.31005859375,United States,^GSPC,,,,,
2021-02-03,3830.169921875,United States,^GSPC,,,,,
2021-02-04,3871.739990234375,United States,^GSPC,,,,,
2021-02-05,3886.830078125,United States,^GSPC,,,,,
2021-02-08,3915.590087890625,United States,^GSPC,,,,,
2021-02-09,3911.22998046875,United States,^GSPC,,,,,
2021-02-10,3909.8798828125,United States,^GSPC,,,,,
2021-02-11,3916.3798828125,United States,^GSPC,,,,,
2021-02-12,3934.830078125,United States,^GSPC,,,,,
2021-02-16,3932.590087890625,United States,^GSPC,,,,,
2021-02-17,3931.330078125,United States,^GSPC,,,,,
2021-02-18,3913.969970703125,United States,^GSPC,,,,,
2021-02-19,3906.7099609375,United States,^GSPC,,,,,
2021-02-22,3876.5,United States,^GSPC,,,,,
2021-02-23,3881.3701171875,United States,^GSPC,,,,,
2021-02-24,3925.429931640625,United States,^GSPC,,,,,
2021-02-25,3829.340087890625,United States,^GSPC,,,,,
2021-02-26,3811.14990234375,United States,^GSPC,,,,,
2021-03-01,3901.820068359375,United States,^GSPC,,,,,
2021-03-02,3870.2900390625,United States,^GSPC,,,,,
2021-03-03,3819.719970703125,United States,^GSPC,,,,,
2021-03-04,3768.469970703125,United States,^GSPC,,,,,
2021-03-05,3841.93994140625,United States,^GSPC,,,,,
2021-03-08,3821.35009765625,United States,^GSPC,,,,,
2021-03-09,3875.43994140625,United States,^GSPC,,,,,
2021-03-10,3898.81005859375,United States,^GSPC,,,,,
2021-03-11,3939.340087890625,United States,^GSPC,,,,,
2021-03-12,3943.340087890625,United States,^GSPC,,,,,
2021-03-15,3968.93994140625,United States,^GSPC,,,,,
2021-03-16,3962.7099609375,United States,^GSPC,,,,,
2021-03-17,3974.1201171875,United States,^GSPC,,,,,
2021-03-18,3915.4599609375,United States,^GSPC,,,,,
2021-03-19,3913.10009765625,United States,^GSPC,,,,,
2021-03-22,3940.590087890625,United States,^GSPC,,,,,
2021-03-23,3910.52001953125,United States,^GSPC,,,,,
2021-03-24,3889.139892578125,United States,^GSPC,,,,,
2021-03-25,3909.52001953125,United States,^GSPC,,,,,
2021-03-26,3974.5400390625,United States,^GSPC,,,,,
2021-03-29,3971.090087890625,United States,^GSPC,,,,,
2021-03-30,3958.550048828125,United States,^GSPC,,,,,
2021-03-31,3972.889892578125,United States,^GSPC,,,,,
2021-04-01,4019.8701171875,United States,^GSPC,,,,,
2021-04-05,4077.909912109375,United States,^GSPC,,,,,
2021-04-06,4073.93994140625,United States,^GSPC,,,,,
2021-04-07,4079.949951171875,United States,^GSPC,,,,,
2021-04-08,4097.169921875,United States,^GSPC,,,,,
2021-04-09,4128.7998046875,United States,^GSPC,,,,,
2021-04-12,4127.990234375,United States,^GSPC,,,,,
2021-04-13,4141.58984375,United States,^GSPC,,,,,
2021-04-14,4124.66015625,United States,^GSPC,,,,,
2021-04-15,4170.419921875,United States,^GSPC,,,,,
2021-04-16,4185.47021484375,United States,^GSPC,,,,,
2021-04-19,4163.259765625,United States,^GSPC,,,,,
2021-04-20,4134.93994140625,United States,^GSPC,,,,,
2021-04-21,4173.419921875,United States,^GSPC,,,,,
2021-04-22,4134.97998046875,United States,^GSPC,,,,,
2021-04-23,4180.169921875,United States,^GSPC,,,,,
2021-04-26,4187.6201171875,United States,^GSPC,,,,,
2021-04-27,4186.72021484375,United States,^GSPC,,,,,
2021-04-28,4183.18017578125,United States,^GSPC,,,,,
2021-04-29,4211.47021484375,United States,^GSPC,,,,,
2021-04-30,4181.169921875,United States,^GSPC,,,,,
2021-05-03,4192.66015625,United States,^GSPC,,,,,
2021-05-04,4164.66015625,United States,^GSPC,,,,,
2021-05-05,4167.58984375,United States,^GSPC,,,,,
2021-05-06,4201.6201171875,United States,^GSPC,,,,,
2021-05-07,4232.60009765625,United States,^GSPC,,,,,
2021-05-10,4188.43017578125,United States,^GSPC,,,,,
2021-05-11,4152.10009765625,United States,^GSPC,,,,,
2021-05-12,4063.0400390625,United States,^GSPC,,,,,
2021-05-13,4112.5,United States,^GSPC,,,,,
2021-05-14,4173.85009765625,United States,^GSPC,,,,,
2021-05-17,4163.2900390625,United States,^GSPC,,,,,
2021-05-18,4127.830078125,United States,^GSPC,,,,,
2021-05-19,4115.68017578125,United States,^GSPC,,,,,
2021-05-20,4159.1201171875,United States,^GSPC,,,,,
2021-05-21,4155.85986328125,United States,^GSPC,,,,,
2021-05-24,4197.0498046875,United States,^GSPC,,,,,
2021-05-25,4188.1298828125,United States,^GSPC,,,,,
2021-05-26,4195.990234375,United States,^GSPC,,,,,
2021-05-27,4200.8798828125,United States,^GSPC,,,,,
2021-05-28,4204.10986328125,United States,^GSPC,,,,,
2021-06-01,4202.0400390625,United States,^GSPC,,,,,
2021-06-02,4208.1201171875,United States,^GSPC,,,,,
2021-06-03,4192.85009765625,United States,^GSPC,,,,,
2021-06-04,4229.89013671875,United States,^GSPC,,,,,
2021-06-07,4226.52001953125,United States,^GSPC,,,,,
2021-06-08,4227.259765625,United States,^GSPC,,,,,
2021-06-09,4219.5498046875,United States,^GSPC,,,,,
2021-06-10,4239.18017578125,United States,^GSPC,,,,,
2021-06-11,4247.43994140625,United States,^GSPC,,,,,
2021-06-14,4255.14990234375,United States,^GSPC,,,,,
2021-06-15,4246.58984375,United States,^GSPC,,,,,
2021-06-16,4223.7001953125,United States,^GSPC,,,,,
2021-06-17,4221.85986328125,United States,^GSPC,,,,,
2021-06-18,4166.4501953125,United States,^GSPC,,,,,
2021-06-21,4224.7900390625,United States,^GSPC,,,,,
2021-06-22,4246.43994140625,United States,^GSPC,,,,,
2021-06-23,4241.83984375,United States,^GSPC,,,,,
2021-06-24,4266.490234375,United States,^GSPC,,,,,
2021-06-25,4280.7001953125,United States,^GSPC,,,,,
2021-06-28,4290.60986328125,United States,^GSPC,,,,,
2021-06-29,4291.7998046875,United States,^GSPC,,,,,
2021-06-30,4297.5,United States,^GSPC,,,,,
2021-07-01,4319.93994140625,United States,^GSPC,,,,,
2021-07-02,4352.33984375,United States,^GSPC,,,,,
2021-07-06,4343.5400390625,United States,^GSPC,,,,,
2021-07-07,4358.1298828125,United States,^GSPC,,,,,
2021-07-08,4320.81982421875,United States,^GSPC,,,,,
2021-07-09,4369.5498046875,United States,^GSPC,,,,,
2021-07-12,4384.6298828125,United States,^GSPC,,,,,
2021-07-13,4369.2099609375,United States,^GSPC,,,,,
2021-07-14,4374.2998046875,United States,^GSPC,,,,,
2021-07-15,4360.02978515625,United States,^GSPC,,,,,
2021-07-16,4327.16015625,United States,^GSPC,,,,,
2021-07-19,4258.490234375,United States,^GSPC,,,,,
2021-07-20,4323.06005859375,United States,^GSPC,,,,,
2021-07-21,4358.68994140625,United States,^GSPC,,,,,
2021-07-22,4367.47998046875,United States,^GSPC,,,,,
2021-07-23,4411.7900390625,United States,^GSPC,,,,,
2021-07-26,4422.2998046875,United States,^GSPC,,,,,
2021-07-27,4401.4599609375,United States,^GSPC,,,,,
2021-07-28,4400.64013671875,United States,^GSPC,,,,,
2021-07-29,4419.14990234375,United States,^GSPC,,,,,
2021-07-30,4395.259765625,United States,^GSPC,,,,,
2021-08-02,4387.16015625,United States,^GSPC,,,,,
2021-08-03,4423.14990234375,United States,^GSPC,,,,,
2021-08-04,4402.66015625,United States,^GSPC,,,,,
2021-08-05,4429.10009765625,United States,^GSPC,,,,,
2021-08-06,4436.52001953125,United States,^GSPC,,,,,
2021-08-09,4432.35009765625,United States,^GSPC,,,,,
2021-08-10,4436.75,United States,^GSPC,,,,,
2021-08-11,4442.41015625,United States,^GSPC,,,,,
2021-08-12,4460.830078125,United States,^GSPC,,,,,
2021-08-13,4468.0,United States,^GSPC,,,,,
2021-08-16,4479.7099609375,United States,^GSPC,,,,,
2021-08-17,4448.080078125,United States,^GSPC,,,,,
2021-08-18,4400.27001953125,United States,^GSPC,,,,,
2021-08-19,4405.7998046875,United States,^GSPC,,,,,
2021-08-20,4441.669921875,United States,^GSPC,,,,,
2021-08-23,4479.52978515625,United States,^GSPC,,,,,
2021-08-24,4486.22998046875,United States,^GSPC,,,,,
2021-08-25,4496.18994140625,United States,^GSPC,,,,,
2021-08-26,4470.0,United States,^GSPC,,,,,
2021-08-27,4509.3701171875,United States,^GSPC,,,,,
2021-08-30,4528.7900390625,United States,^GSPC,,,,,
2021-08-31,4522.68017578125,United States,^GSPC,,,,,
2021-09-01,4524.08984375,United States,^GSPC,,,,,
2021-09-02,4536.9501953125,United States,^GSPC,,,,,
2021-09-03,4535.43017578125,United States,^GSPC,,,,,
2021-09-07,4520.02978515625,United States,^GSPC,,,,,
2021-09-08,4514.06982421875,United States,^GSPC,,,,,
2021-09-09,4493.27978515625,United States,^GSPC,,,,,
2021-09-10,4458.580078125,United States,^GSPC,,,,,
2021-09-13,4468.72998046875,United States,^GSPC,,,,,
2021-09-14,4443.0498046875,United States,^GSPC,,,,,
2021-09-15,4480.7001953125,United States,^GSPC,,,,,
2021-09-16,4473.75,United States,^GSPC,,,,,
2021-09-17,4432.990234375,United States,^GSPC,,,,,
2021-09-20,4357.72998046875,United States,^GSPC,,,,,
2021-09-21,4354.18994140625,United States,^GSPC,,,,,
2021-09-22,4395.64013671875,United States,^GSPC,,,,,
2021-09-23,4448.97998046875,United States,^GSPC,,,,,
2021-09-24,4455.47998046875,United States,^GSPC,,,,,
2021-09-27,4443.10986328125,United States,^GSPC,,,,,
2021-09-28,4352.6298828125,United States,^GSPC,,,,,
2021-09-29,4359.4599609375,United States,^GSPC,,,,,
2021-09-30,4307.5400390625,United States,^GSPC,,,,,
2021-10-01,4357.0400390625,United States,^GSPC,,,,,
2021-10-04,4300.4599609375,United States,^GSPC,,,,,
2021-10-05,4345.72021484375,United States,^GSPC,,,,,
2021-10-06,4363.5498046875,United States,^GSPC,,,,,
2021-10-07,4399.759765625,United States,^GSPC,,,,,
2021-10-08,4391.33984375,United States,^GSPC,,,,,
2021-10-11,4361.18994140625,United States,^GSPC,,,,,
2021-10-12,4350.64990234375,United States,^GSPC,,,,,
2021-10-13,4363.7998046875,United States,^GSPC,,,,,
2021-10-14,4438.259765625,United States,^GSPC,,,,,
2021-10-15,4471.3701171875,United States,^GSPC,,,,,
2021-10-18,4486.4599609375,United States,^GSPC,,,,,
2021-10-19,4519.6298828125,United States,^GSPC,,,,,
2021-10-20,4536.18994140625,United States,^GSPC,,,,,
2021-10-21,4549.77978515625,United States,^GSPC,,,,,
2021-10-22,4544.89990234375,United States,^GSPC,,,,,
2021-10-25,4566.47998046875,United States,^GSPC,,,,,
2021-10-26,4574.7900390625,United States,^GSPC,,,,,
2021-10-27,4551.68017578125,United States,^GSPC,,,,,
2021-10-28,4596.419921875,United States,^GSPC,,,,,
2021-10-29,4605.3798828125,United States,^GSPC,,,,,
2021-11-01,4613.669921875,United States,^GSPC,,,,,
2021-11-02,4630.64990234375,United States,^GSPC,,,,,
2021-11-03,4660.56982421875,United States,^GSPC,,,,,
2021-11-04,4680.06005859375,United States,^GSPC,,,,,
2021-11-05,4697.52978515625,United States,^GSPC,,,,,
2021-11-08,4701.7001953125,United States,^GSPC,,,,,
2021-11-09,4685.25,United States,^GSPC,,,,,
2021-11-10,4646.7099609375,United States,^GSPC,,,,,
2021-11-11,4649.27001953125,United States,^GSPC,,,,,
2021-11-12,4682.85009765625,United States,^GSPC,,,,,
2021-11-15,4682.7998046875,United States,^GSPC,,,,,
2021-11-16,4700.89990234375,United States,^GSPC,,,,,
2021-11-17,4688.669921875,United States,^GSPC,,,,,
2021-11-18,4704.5400390625,United States,^GSPC,,,,,
2021-11-19,4697.9599609375,United States,^GSPC,,,,,
2021-11-22,4682.93994140625,United States,^GSPC,,,,,
2021-11-23,4690.7001953125,United States,^GSPC,,,,,
2021-11-24,4701.4599609375,United States,^GSPC,,,,,
2021-11-26,4594.6201171875,United States,^GSPC,,,,,
